,name,born,primary_title,premiered,runtime_minutes
327,Catherine Deneuve,1943,Princesse Marie,2004,190
328,Catherine Deneuve,1943,A Christmas Tale,2008,150
329,Catherine Deneuve,1943,Beloved,2011,133
330,Catherine Ferran,1945,Fanny,2008,175
331,Catherine Hiegel,1946,Violette,2013,139
332,Catherine Rich,1932,Captain Conan,1996,129
333,Catherine Samie,1933,L'école des femmes,1999,139
334,Catherine Samie,1933,Les femmes savantes,2003,132
335,Catherine Samie,1933,À la recherche du temps perdu,2011,230
336,Catherine Spaak,1945,Zen,2011,270
337,Cathleen Delany,1907,Troubles,1988,208
338,Cathleen Nesbitt,1888,The Crucible,1967,135
339,Celeste Holm,1917,Backstairs at the White House,1979,540
340,Celeste Yarnall,1944,Elvis Found Alive,2012,128
341,Celia Johnson,1908,Romeo & Juliet,1978,168
342,Celia Johnson,1908,All's Well That Ends Well,1981,141
343,Celile Toyon Uysal,1944,Yedinci Kogustaki Mucize,2019,132
344,Charlotte Boisjoli,1923,Laurier,1984,240
345,Charlotte Greenwood,1890,Oklahoma!,1955,145
346,Charlotte Heinimann,1956,Bruno Manser - Die Stimme des Regenwaldes,2019,142
347,Charlotte Kerr,1927,Achterloo IV,1989,160
348,Charlotte Küter,1900,Tod im Preis inbegriffen,1968,160
349,Charlotte Rampling,1946,Rio Sex Comedy,2010,124
350,Charlotte Rampling,1946,Red Sparrow,2018,140
351,Charmian May,1937,Weirdsister College,2001,318
352,Charo Santos-Concio,1955,The Woman Who Left,2016,226
353,Chhayadevi,1914,Alaap,1977,160
354,Chhayadevi,1914,Rajani,1977,123
355,Chhayadevi,1914,Bandini Kamala,1982,124
356,Chica Xavier,1932,Dona Flor and Her 2 Husbands,1998,341
357,Chieko Baishô,1941,A Heartful of Love,2005,132
358,Chieko Baishô,1941,Shirahata no shoujo,2009,134
359,Chieko Baishô,1941,Hameln,2013,132
360,Chieko Higashiyama,1890,Tokyo Story,1953,136
361,Chieko Higashiyama,1890,The Maid's Kid,1955,143
362,Chieko Higashiyama,1890,Sara no hana no toge,1955,129
363,Chieko Higashiyama,1890,The River Kino,1966,173
364,Chieko Higashiyama,1890,Tsukiyo no kasa,1955,127
365,Chieko Higashiyama,1890,Nagasaki No Uta Wa Wasureji,1952,132
366,Chieko Matsubara,1945,A Long Goodbye,2019,127
367,Chikage Awashima,1924,Until the Lights Come Back,2005,132
368,Chisako Hara,1936,Rampo Noir,2005,134
369,Chisako Hara,1936,Ubume no natsu,2005,123
370,Chitra Sen,1934,Konttho,2019,144
371,Chiu-Lin Tam,1929,Dragon Boys,2007,178
372,Christa Ludwig,1928,Götterdämmerung,1990,281
373,Christa Ludwig,1928,Das Rheingold,1990,163
374,Christa Ludwig,1928,Die Walküre,1990,244
375,Christel Peters,1916,Liebe darf alles,2002,179
376,Chunibala Devi,1872,Pather Panchali,1955,125
377,Cicely Tyson,1924,Aftershock: Earthquake in New York,1999,170
378,Cida Moreira,1951,Good Manners,2017,135
379,Claire Bloom,1931,The Camomile Lawn,1992,258
380,Claire Bloom,1931,The Ten Commandments,2006,167
381,Claire Bloom,1931,Miss Dalí,2018,165
382,Claudette Colbert,1903,The Two Mrs. Grenvilles,1987,178
383,Clelia Matania,1913,Bambole: scene di un delitto perfetto,1980,300
384,Cloris Leachman,1926,Music of the Heart,1999,124
385,Cloris Leachman,1926,Spanglish,2004,131
386,Cloris Leachman,1926,Beach Girls,2005,251
387,Coco Chanel,1883,Runway Magazine,2014,160
388,Coco Chanel,1883,Runway Magazine,2015,160
389,Colleen Dewhurst,1924,A.D.,1985,600
390,Colleen Dewhurst,1924,Anne of Green Gables,1985,199
391,Colleen Dewhurst,1924,Anne of Avonlea,1987,230
392,Colleen Dewhurst,1924,Part 1,1985,180
393,Colleen Dewhurst,1924,Part 5,1985,180
394,Constance Cummings,1910,Long Day's Journey Into Night,1973,161
395,Corinne Conley,1929,The Dark Years,2007,140
396,Dagmar Koller,1939,Andre Rieu: Live in Vienna,2008,135
397,Dagmar Myhrvold,1898,Lille Lord Fauntleroy,1966,135
398,Dagny Stenius,1893,Gustav Vasa,1965,150
399,Daisy Granados,1942,7 Days in Havana,2012,129
400,Dandy Nichols,1907,The Birthday Party,1968,123
401,Danielle Darrieux,1917,Dangerous Liaisons,2003,252
402,Danielle Darrieux,1917,Elles et moi,2008,222
403,Danièle Lebrun,1937,La liberté de Marie,2002,180
404,Danièle Lebrun,1937,De Gaulle,2006,210
405,Danièle Lebrun,1937,La légende des 3 clefs,2007,270
406,Danka Kubiak,1926,Mask of Life on Yukio Mishima,2010,180
407,Danna Hansen,1921,Robert Kennedy and His Times,1985,309
408,Daphne Reid,1948,Jacqueline and Jilly,2018,124
409,Dawlat Abyad,1895,Teenagers,1960,125
410,Dawna Lee Heising,1953,The Job Interview,2017,132
411,Deannie Ip,1947,Our Time Will Come,2017,130
412,Deborah Findlay,1947,National Theatre Live: Allelujah!,2018,170
413,Deborah Kerr,1921,A Woman of Substance,1984,300
414,Deborah Kerr,1921,Hold the Dream,1986,195
415,Dee Wallace,1948,Killing Ruth: The Snuff Dialogues,2011,131
